Date,Sample ID,Nitrite,Nitrate,Ammonia,Phosphate HR,Phosphate LR,Sulphate,Sulphide,Skip 
8/22/2021,in1,NA,0.488,1.29,NA,0.9,112,NA,0
8/22/2021,in1,NA,NA,NA,NA,NA,195,NA,0
8/22/2021,in1,NA,NA,NA,NA,NA,106,NA,0
9/18/2021,in1,NA,NA,6.6,NA,NA,NA,NA,0
9/18/2021,in1,NA,0.314,NA,NA,NA,NA,NA,0
9/18/2021,in1,NA,0.312,NA,NA,NA,NA,NA,0
9/18/2021,in1,NA,NA,NA,NA,NA,NA,0.02,0
9/18/2021,in1,NA,NA,NA,10.09,NA,NA,NA,0
10/2/2021,in1,NA,NA,0.43,NA,NA,NA,NA,0
10/2/2021,in1,NA,0.305,NA,NA,NA,NA,NA,0
10/2/2021,in1,NA,NA,NA,NA,NA,NA,0,0
10/2/2021,in1,NA,NA,NA,14,NA,NA,NA,0
10/2/2021,in1,NA,NA,NA,NA,NA,210,NA,0
10/2/2021,in1,NA,NA,NA,NA,NA,210,NA,0
10/2/2021,in1,NA,NA,NA,NA,NA,NA,NA,0
9/18/2021,in2,NA,NA,NA,NA,NA,NA,0.07,0
9/18/2021,in2,NA,NA,NA,30.4,NA,NA,NA,0
9/18/2021,in2,NA,NA,NA,NA,NA,205,NA,0
10/2/2021,in2,NA,NA,0.28,NA,NA,NA,NA,0
10/2/2021,in2,NA,0.396,NA,NA,NA,NA,NA,0
10/2/2021,in2,NA,NA,NA,NA,NA,NA,0,0
10/2/2021,in2,NA,NA,NA,NA,0.7,NA,NA,0
10/2/2021,in2,NA,NA,NA,NA,NA,210,NA,0
10/2/2021,in2,NA,NA,NA,NA,NA,NA,NA,0
9/18/2021,ss1,NA,NA,3.9,NA,NA,NA,NA,0
9/18/2021,ss1,NA,0,NA,NA,NA,NA,NA,0
9/18/2021,ss1,NA,3.81,NA,NA,NA,NA,NA,0
9/18/2021,ss1,NA,NA,NA,NA,NA,NA,0.09,0
9/18/2021,ss1,NA,NA,NA,31.9,NA,NA,,0
9/18/2021,ss1,NA,NA,NA,NA,NA,74,NA,0
10/2/2021,ss1,NA,NA,4.7,NA,NA,NA,NA,0
10/2/2021,ss1,NA,6.65,NA,NA,NA,NA,NA,0
10/2/2021,ss1,NA,NA,NA,NA,NA,NA,0.1,0
10/2/2021,ss1,NA,NA,NA,4.5,NA,NA,NA,0
10/2/2021,ss1,NA,NA,NA,NA,NA,122,NA,0
9/18/2021,ss6,NA,NA,1.7,NA,NA,NA,NA,0
9/18/2021,ss6,NA,0,NA,NA,NA,NA,NA,0
9/18/2021,ss6,NA,2.45,NA,NA,NA,NA,NA,0
9/18/2021,ss6,NA,2.06,NA,NA,NA,NA,NA,0
9/18/2021,ss6,NA,NA,NA,NA,NA,NA,0.01,0
9/18/2021,ss6,NA,NA,NA,NA,NA,150,NA,0
10/2/2021,ss6,NA,NA,4.6,NA,NA,NA,NA,0
10/2/2021,ss6,NA,3.46,NA,NA,NA,NA,NA,0
10/2/2021,ss6,NA,NA,NA,NA,NA,NA,0.05,0
10/2/2021,ss6,NA,NA,NA,1.9,NA,NA,NA,0
10/2/2021,ss6,NA,NA,NA,NA,NA,170,NA,0
9/18/2021,ss7,NA,NA,3.8,NA,NA,NA,NA,0
9/18/2021,ss7,NA,2.88,NA,NA,NA,NA,NA,0
9/18/2021,ss7,NA,0.288,NA,NA,NA,NA,NA,0
9/18/2021,ss7,NA,NA,NA,NA,NA,NA,0.05,0
9/18/2021,ss7,NA,NA,NA,5.5,NA,NA,NA,0
9/18/2021,ss7,NA,NA,NA,NA,NA,106,NA,0
10/2/2021,ss7,NA,NA,4.5,NA,NA,NA,NA,0
10/2/2021,ss7,NA,5.15,NA,NA,NA,NA,NA,0
10/2/2021,ss7,NA,NA,NA,NA,NA,NA,0.04,0
10/2/2021,ss7,NA,NA,NA,6.8,NA,NA,NA,0
10/2/2021,ss7,NA,NA,NA,NA,NA,86,NA,0
9/18/2021,ss8,NA,0,NA,NA,NA,NA,NA,0
9/18/2021,ss8,NA,NA,NA,NA,NA,NA,0,0
9/18/2021,ss8,NA,NA,NA,NA,NA,132,NA,0
10/2/2021,ss8,NA,NA,4.4,NA,NA,NA,NA,0
10/2/2021,ss8,NA,6.14,NA,NA,NA,NA,NA,0
10/2/2021,ss8,NA,NA,NA,NA,NA,NA,0.16,0
10/2/2021,ss8,NA,NA,NA,6.2,NA,NA,NA,0
10/2/2021,ss8,NA,NA,NA,NA,NA,98,NA,0
